Nº,Jugador,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
1,CALVO,08:36,6,3,3,100.0%,0,0,0.0%,3,3,100.0%,0,0,0.0%,0,7,7,3,1,0,0,0,1,0,14,15,8
2,DEL CASTILLO,04:49,3,1,1,100.0%,1,1,100.0%,0,0,0.0%,0,0,0.0%,0,1,1,1,0,0,0,0,3,0,2,5,-1
4,FRANCO,21:57,8,4,5,80.0%,0,0,0.0%,4,5,80.0%,0,0,0.0%,1,1,2,4,1,1,0,0,0,1,14,13,1
8,LÓPEZ,19:35,2,1,1,100.0%,0,0,0.0%,1,1,100.0%,0,0,0.0%,0,5,5,5,0,1,0,0,5,3,11,13,7
11,MILO,35:58,19,8,8,100.0%,1,1,100.0%,7,7,100.0%,2,2,100.0%,1,6,7,4,6,1,2,0,1,5,31,27,10
14,BALADO,20:33,11,3,3,100.0%,2,2,100.0%,1,1,100.0%,3,3,100.0%,4,2,6,2,3,0,1,0,1,2,18,17,3
15,GOMEZ,23:13,7,2,2,100.0%,0,0,0.0%,2,2,100.0%,3,3,100.0%,0,6,6,1,3,1,0,0,4,1,9,12,-3
22,BOLARIN,11:21,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,2,2,2,1,0,0,0,1,2,4,3,-4
28,SOCIAS,03:07,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,6
41,NOYA,21:36,4,1,1,100.0%,1,1,100.0%,0,0,0.0%,1,4,25.0%,1,1,2,0,3,0,0,0,5,0,-5,0,6
55,GAVARA,13:08,2,1,1,100.0%,0,0,0.0%,1,1,100.0%,0,0,0.0%,0,1,1,0,3,1,0,0,2,0,-1,1,-1
65,VILLOSLADA,16:07,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,1,0,0,0,2,0,-3,-1,-2
,Total,,62,24,25,96.0%,5,5,100.0%,19,20,95.0%,9,12,75.0%,7,32,39,22,22,5,3,0,25,14,94,105,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,JURQUE,19:07,7,3,3,100.0%,0,0,0.0%,3,3,100.0%,1,2,50.0%,1,3,4,0,1,0,0,0,2,1,8,9,-11
8,RUBÉN GONJAR,14:31,1,0,2,0.0%,0,0,0.0%,0,2,0.0%,1,2,50.0%,1,2,3,0,3,0,0,0,0,1,-1,-2,0
11,GUSTAVO GONAZALEZ,26:34,5,1,5,20.0%,1,2,50.0%,0,3,0.0%,2,4,50.0%,1,2,3,5,3,1,0,0,3,3,5,5,1
14,PETE,05:46,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,1,0,1,0,3,0,1,0,0,0,-2,-2,-7
15,LBERTO LIANES,26:17,15,5,16,31.2%,3,11,27.3%,2,5,40.0%,2,3,66.7%,4,3,7,3,3,6,0,0,2,3,17,16,-9
36,MAX,25:35,5,2,6,33.3%,0,2,0.0%,2,4,50.0%,1,2,50.0%,2,3,5,1,3,1,0,0,2,1,3,4,-4
42,NICO,02:48,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,0,2,2,0,0,0,0,0,1,0,0,1,-6
85,FEYLIN,08:47,3,1,2,50.0%,0,0,0.0%,1,2,50.0%,1,2,50.0%,2,2,4,0,3,0,0,0,1,2,3,2,6
87,ALEX MARIN,14:37,6,2,5,40.0%,1,2,50.0%,1,3,33.3%,1,2,50.0%,3,2,5,2,1,0,0,0,1,0,7,8,1
90,LEONARD,22:38,4,2,10,20.0%,0,3,0.0%,2,7,28.6%,0,5,0.0%,0,2,2,2,5,0,0,0,1,4,-7,-10,-3
93,SUBRÁ,33:20,10,4,8,50.0%,0,0,0.0%,4,8,50.0%,2,2,100.0%,6,11,17,3,0,0,2,0,1,5,32,28,2
,Total,,56,20,59,33.9%,5,20,25.0%,15,39,38.5%,11,24,45.8%,21,32,53,16,27,8,3,0,14,20,63,57,-
