Nº,Jugador,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
0,Alberto R,15:26,8,3,8,37.5%,2,4,50.0%,1,4,25.0%,0,2,0.0%,0,3,3,2,0,1,0,0,0,2,9,7,12
2,Jurque,16:35,4,2,6,33.3%,0,0,0.0%,2,6,33.3%,0,2,0.0%,3,3,6,1,4,2,0,0,2,3,4,3,10
4,Pete,17:32,0,0,2,0.0%,0,1,0.0%,0,1,0.0%,0,0,0.0%,2,2,4,2,3,0,0,0,1,0,0,1,-2
7,Raúl,14:09,14,4,9,44.4%,3,6,50.0%,1,3,33.3%,3,4,75.0%,0,1,1,2,2,1,0,0,3,2,9,10,6
11,Gustavo,18:13,5,2,5,40.0%,0,0,0.0%,2,5,40.0%,1,1,100.0%,1,3,4,1,2,1,0,0,1,1,6,6,12
14,Lianes,23:28,15,5,8,62.5%,4,6,66.7%,1,2,50.0%,1,1,100.0%,2,1,3,2,1,2,0,0,2,0,16,18,20
16,Max,15:27,5,2,5,40.0%,0,1,0.0%,2,4,50.0%,1,1,100.0%,3,2,5,4,1,0,2,0,3,3,12,12,15
17,Leonard,25:00,10,4,8,50.0%,1,4,25.0%,3,4,75.0%,1,3,33.3%,1,3,4,2,6,3,0,0,4,4,7,7,-8
31,Oscar,05:00,2,1,1,100.0%,0,0,0.0%,1,1,100.0%,0,0,0.0%,1,0,1,0,1,1,0,0,1,0,2,3,-2
85,Feylin,19:50,6,2,3,66.7%,0,0,0.0%,2,3,66.7%,2,2,100.0%,2,2,4,1,1,1,0,0,3,1,8,10,1
87,Marín,12:08,3,1,2,50.0%,1,2,50.0%,0,0,0.0%,0,0,0.0%,2,0,2,0,2,1,0,0,1,0,2,3,5
93,Subra,17:05,17,6,10,60.0%,0,1,0.0%,6,9,66.7%,5,6,83.3%,3,2,5,1,2,2,3,0,2,5,24,21,31
,Total,,89,32,67,47.8%,11,25,44.0%,21,42,50.0%,14,22,63.6%,20,23,43,18,25,15,5,0,23,21,100,102,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Total,,69,24,57,42.1%,7,16,43.8%,17,41,41.5%,14,24,58.3%,13,19,32,2,29,6,0,5,22,0,10,37,-
